id,site_id,project_company_id,size_kwdc,ato_date,in_service_date,host_type,revenue_type,interconnection_type,registry_facility_name,cref_short_name,subscriber_orginization,system_yield_as_built,system_yield_finance,annual_degradation_engr,annual_degradation_finance,created_on,updated_on
DTCZDVxu,1,85,3.36,2020-07-16,,Residential,,,AWAITING,,,1250,1250,,,2021-06-03 03:59:23.473649,
pNzV8fZA,1,85,3.66,,,Residential,,,,,,1250,1250,,,2021-06-03 03:59:23.473649,
D9Fyqv4b,1,85,4.2,2020-03-16,,Residential,,,NON306256,,,1250,1250,,,2021-06-03 03:59:23.473649,
UzjFjJYd,1,85,2.24,2020-07-28,,Residential,,,AWAITING,,,1250,1250,,,2021-06-03 03:59:23.473649,
9eSEXdEf,1,85,3.36,2020-06-26,,Residential,,,NON306237,,,1250,1250,,,2021-06-03 03:59:23.473649,
obm4nHKf,1,85,4.2,,,Residential,,,NON314333,,,1250,1250,,,2021-06-03 03:59:23.473649,
LCuKYfun,1,66,53.72,2018-11-19,2018-12-21,C&I,CREF,NEM,NON241602,NCS08,Arcadia,1202,1366,0.005,,2021-06-03 03:59:23.473649,
qnAdE24v,1,85,2.44,2020-09-08,,Residential,,,NON311616,,,1250,1250,,,2021-06-03 03:59:23.473649,
HzaD2eCR,1,85,4.48,2020-01-22,,Residential,,,NON300606,,,1250,1250,,,2021-06-03 03:59:23.473649,
LB65JrT3,1,85,3.36,2020-08-19,,Residential,,,AWAITING,,,1250,1250,,,2021-06-03 03:59:23.473649,
4QUYUBwx,1,85,3.92,,,Residential,,,AWAITING,,,1250,1250,,,2021-06-03 03:59:23.473649,
UoTpi6eu,1,85,5.49,2020-11-30,,Residential,,,,,,1250,1250,,,2021-06-03 03:59:23.473649,
r5k5Wskb,1,85,7.015,2020-07-16,,Residential,,,NON304530,,,1250,1250,,,2021-06-03 03:59:23.473649,
YpiKAFWm,1,66,9.86,2018-01-12,,C&I,,,NON216860,,,1250,1250,0.005,,2021-06-03 03:59:23.473649,
B8BWa5zx,1,85,4.2,,,Residential,,,,,,1250,1250,,,2021-06-03 03:59:23.473649,
mujNo6he,1,67,63.5,2019-09-06,2019-09-06,C&I,CREF,CREF,NON271560,NCS18,CleanChoice,1291.8,1291.800048828125,0.005,,2021-06-03 03:59:23.473649,
ki2YusPx,1,68,39.7,2020-09-11,,C&I,PPA,NEM,NON311187,,,1294.9,1294.9,0.005,0.005,2021-06-03 03:59:23.473649,
t2tUUD5A,1,69,63.7,2020-06-30,,C&I,,CREF,NON304704,,,1168.7,1168.7,0.005,0.0025,2021-06-03 03:59:23.473649,
9yJdvTyM,1,69,129.6,2020-08-10,2020-08-10,C&I,,CREF,NON305858,,,1211.3,1211.3,0.005,0.0025,2021-06-03 03:59:23.473649,
iUUik7Z6,1,70,291.18,2020-12-04,,C&I,,CREF,Unassigned 12/16,,,1215.7,1215.7,0.005,0.0025,2021-06-03 03:59:23.473649,
Zkcjpc8v,1,71,132.8,2020-07-29,,C&I,,CREF,NON304531,,,1169,1169,0.005,0.0025,2021-06-03 03:59:23.473649,
KWF2y7PX,1,72,180.435,2020-12-04,,C&I,,CREF,,,,1256.2,1256.2,0.005,0.0025,2021-06-03 03:59:23.473649,
LdsFVeaB,1,73,61.2,2018-11-26,2018-11-27,C&I,CREF,CREF,NON241623,NCS06,Arcadia,1221.3,1279,0.005,,2021-06-03 03:59:23.473649,
FvwPcQWS,1,74,175.6,2020-12-15,,C&I,,,,,,1246.9,1246.9,0.005,,2021-06-03 03:59:23.473649,
4CLfAuJq,1,75,137,2020-08-11,2020-08-12,C&I,,CREF,NON318932,,,1283,1283,0.005,0.0025,2021-06-03 03:59:23.473649,
7WFfBRbZ,1,76,137.5,2020-08-31,,C&I,,CREF,NON307980,,,1274.1,1250,0.005,0.0025,2021-06-03 03:59:23.473649,
HMCxXnfB,1,76,107.6,2020-05-14,,C&I,SFA,CREF,NON299962,,,1262,1250,0.005,0.0025,2021-06-03 03:59:23.473649,
ZvSGESam,1,77,45,2020-12-14,,C&I,,NEM,,,,1244.8,1244.8,0.005,,2021-06-03 03:59:23.473649,
BGug2z3C,1,77,45,2020-12-23,,C&I,,NEM,,,,1244.8,1244.8,0.005,,2021-06-03 03:59:23.473649,
aCh7EDtM,1,77,45,2020-12-10,,C&I,,NEM,,,,1243.3,1243.3,0.005,,2021-06-03 03:59:23.473649,
PbFaecVY,1,77,45,2020-12-14,,C&I,,NEM,,,,1244,1244,0.005,,2021-06-03 03:59:23.473649,
ERoCjJR4,1,77,46.8,2020-12-14,,C&I,,NEM,,,,1242.7,1242.7,0.005,,2021-06-03 03:59:23.473649,
7o59qwF8,1,77,45.7,2020-12-14,,C&I,,NEM,,,,1244,1244,0.005,,2021-06-03 03:59:23.473649,
CchpuaFu,1,77,45.7,2020-12-14,,C&I,,NEM,,,,1243.6,1243.6,0.005,,2021-06-03 03:59:23.473649,
da5VNxEB,1,77,44.3,2020-12-14,,C&I,,NEM,,,,1243.8,1243.8,0.005,,2021-06-03 03:59:23.473649,
ZTgGZhSt,1,77,46.1,2021-02-17,,C&I,,NEM,,,,1242.8,1242.8,0.005,,2021-06-03 03:59:23.473649,
qjL4y27M,1,77,48.6,2020-12-14,,C&I,,NEM,,,,1243.1,1243.1,0.005,,2021-06-03 03:59:23.473649,
mAfXpoN6,1,77,46.8,2020-12-13,,C&I,,NEM,,,,1243.1,1243.1,0.005,,2021-06-03 03:59:23.473649,
o65qioGg,1,77,48.6,2020-12-13,,C&I,,NEM,,,,1212.7,1212.7,0.005,,2021-06-03 03:59:23.473649,
jyLNRUxW,1,77,48.6,2020-12-13,,C&I,,NEM,,,,1243.1,1243.1,0.005,,2021-06-03 03:59:23.473649,
CnqREidJ,1,77,46.8,2020-12-13,,C&I,,NEM,,,,1234.5,1234.5,0.005,,2021-06-03 03:59:23.473649,
9EUCfnGw,1,78,82.7,2021-03-08,,C&I,,,,,,1239.9,1239.9,0.005,,2021-06-03 03:59:23.473649,
SEa2urLB,1,79,128.9,2019-12-16,,C&I,NEM,NEM,NON308142,,,1180.8,1250,0.005,0.0025,2021-06-03 03:59:23.473649,
ANsUrXnV,1,79,116.96,2020-12-04,,C&I,NEM,NEM,,,,1273.7,1250,0.005,0.0025,2021-06-03 03:59:23.473649,
AqhXAjXo,1,79,55.08,2019-12-16,,C&I,NEM,NEM,NON308687,,,1203.9,1250,0.005,0.0025,2021-06-03 03:59:23.473649,
ZceGJDSE,1,79,49.98,2019-12-16,,C&I,NEM,NEM,NON308689,,,1181.1,1250,0.005,0.0025,2021-06-03 03:59:23.473649,
Cava45w6,1,79,228.48,2020-12-04,,C&I,NEM,NEM,,,,1188.9,1228,0.005,0.0025,2021-06-03 03:59:23.473649,
m5uGsKac,1,80,230.8,2021-04-29,,C&I,,,,,,1254,1254,0.005,0.005,2021-06-03 03:59:23.473649,
GNbC7urw,1,81,4.02,2018-12-14,,Residential,Zero Cent PPA,NEM,NON266674,,,1250,1250,0.005,,2021-06-03 03:59:23.473649,
jDnENjDN,1,81,4.62,2019-03-29,,Residential,Zero Cent PPA,NEM,NON254959,,,1250,1250,0.005,,2021-06-03 03:59:23.473649,
rWGpJCs8,1,82,425.6,2020-11-13,,C&I,,,,,,1238.5,1238.5,0.005,0.005,2021-06-03 03:59:23.473649,
AVVpmsZ2,1,82,590.86,2020-11-13,,C&I,,,,,,1237.5,1237.5,0.005,0.005,2021-06-03 03:59:23.473649,
Xn9xnU9F,1,83,7.84,2018-11-26,,C&I,,NEM,,,,1250,1250,0.005,0.005,2021-06-03 03:59:23.473649,
BdSW3oAC,1,84,24.57,2016-09-27,,C&I,,NEM,,,,0,0,0.005,0.005,2021-06-03 03:59:23.473649,
Qgb84Kyk,1,84,12.3,2016-09-21,,C&I,,NEM,,,,0,0,0.005,0.005,2021-06-03 03:59:23.473649,
3iWN3Tby,1,84,18.9,2016-09-21,,C&I,,NEM,,,,0,0,0.005,0.005,2021-06-03 03:59:23.473649,
3g6xcLhH,1,84,21.7,2016-09-22,,C&I,,NEM,,,,1129.57,1129.57,0.005,0.005,2021-06-03 03:59:23.473649,
Q5wHE4Ct,1,84,12.6,2016-09-13,,C&I,,NEM,,,,0,0,0.005,0.005,2021-06-03 03:59:23.473649,
rokVNeTF,1,84,93.24,2017-07-11,,C&I,,NEM,,,,1211,1239,0.005,,2021-06-03 03:59:23.473649,
pgSHiTNX,1,84,15.84,2016-09-16,,C&I,,NEM,,,,0,0,0.005,0.005,2021-06-03 03:59:23.473649,
ddZyQa8W,1,84,26.4,2016-09-13,,C&I,,NEM,,,,0,0,0.005,0.005,2021-06-03 03:59:23.473649,
mDbjeDAd,1,84,13.2,2016-09-16,,C&I,,NEM,,,,0,0,0.005,0.005,2021-06-03 03:59:23.473649,
